n_clusters,kp_num,acc
100,50.0,0.2783333333333333
500,50.0,0.306
1000,50.0,0.308
2000,50.0,0.305
5000,50.0,0.308
100,0.322,0.322
500,100.0,0.3373333333333333
1000,100.0,0.335
2000,100.0,0.35133333333333333
5000,100.0,0.36833333333333335
100,200.0,0.3453333333333333
500,200.0,0.38533333333333336
1000,200.0,0.4003333333333333
2000,200.0,0.413
5000,200.0,0.41833333333333333
100,500.0,0.38033333333333336
500,0.43066666666666664,0.43066666666666664
1000,500.0,0.45
2000,500.0,0.471
5000,500.0,0.4796666666666667
100,1000.0,0.4073333333333333
500,1000.0,0.444
1000,0.48,0.48
2000,1000.0,0.48933333333333334
5000,1000.0,0.491
