batch_size,lr,num_epochs,best_val_acc
32,0.001,10,0.976218787158145
32,0.001,20,0.9881093935790726
32,0.001,30,0.9928656361474435
32,0.0005,10,0.9809750297265161
32,0.0005,20,0.9869203329369798
32,0.0005,30,0.9964328180737217
32,0.0001,10,0.9607609988109393
32,0.0001,20,0.9809750297265161
32,0.0001,30,0.9928656361474435
64,0.001,10,0.9774078478002378
64,0.001,20,0.985731272294887
64,0.001,30,0.9928656361474435
64,0.0005,10,0.9678953626634959
64,0.0005,20,0.9809750297265161
64,0.0005,30,0.9916765755053508
64,0.0001,10,0.925089179548157
64,0.0001,20,0.976218787158145
64,0.0001,30,0.9845422116527943
128,0.001,10,0.976218787158145
128,0.001,20,0.9916765755053508
128,0.001,30,0.9916765755053508
128,0.0005,10,0.9571938168846611
128,0.0005,20,0.9821640903686087
128,0.0005,30,0.9892984542211652
128,0.0001,10,0.7681331747919143
128,0.0001,20,0.9357907253269917
128,0.0001,30,0.9785969084423306
